"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt"
"Sub003_ToD_Online","OA","Night",1,"christmasstocking1_tr.png",522,162,0.070169073,-0.215958201,4.8215,268,0.092358458,-0.207440494,"Bckg136.jpg",165,50,97,3,1,1,105,165,322,246,121,165,"christmasstocking1_tr.png",1,156,156,5.8156,1,1.6308,1,0.7329
"Sub003_ToD_Online","OA","Night",1,"coffeemug1_tr.png",321,321,-0.142900971,0.176468002,3.7005,268,0.03552187,-0.224276258,"Bckg20.jpg",325,70,68,2,1,1,56,325,253,113,22,325,"coffeemug1_tr.png",1,171,171,5.4502,1,1.6835,1,0.9156
"Sub003_ToD_Online","OA","Night",1,"crayon1_tr.png",274,274,-0.226518754,0.015839734,3.0836,268,-0.226933564,-0.007924695,"Bckg87.jpg",267,33,116,3,1,1,99,267,220,22,283,267,"crayon1_tr.png",1,-92,268,5.5555,1,1.9151,1,0.6504
"Sub003_ToD_Online","OA","Night",1,"cucumber1_tr.png",448,88,0.226933564,0.007924695,5.3001,268,0.226933564,0.007924695,"Bckg92.jpg",82,87,72,2,1,1,54,82,286,332,303,82,"cucumber1_tr.png",1,448,88,4.2142,1,1.428,1,0.9192
"Sub003_ToD_Online","OA","Night",1,"dog1_tr.png",162,162,0.070169073,-0.215958201,4.0499,268,0.047210901,-0.222109824,"Bckg23.jpg",167,111,114,3,1,1,94,167,16,26,214,167,"dog1_tr.png",1,168,168,6.2372,1,1.381,1,1.0335
"Sub003_ToD_Online","OA","Night",1,"dress1_tr.png",453,93,0.226760696,-0.011884024,5.907,268,0.224276258,0.03552187,"Bckg96.jpg",83,51,98,3,1,1,92,83,239,71,9,83,"dress1_tr.png",1,81,81,3.349,1,1.5639,1,1.4873
"Sub003_ToD_Online","OA","Night",1,"eggs1_tr.png",88,88,0.226933564,0.007924695,2.8833,268,0.226207813,0.019790619,"Bckg132.jpg",84,28,79,2,1,1,64,84,124,265,170,84,"eggs1_tr.png",1,445,85,7.7314,1,1.4505,1,0.9319
"Sub003_ToD_Online","OA","Night",1,"encyclopedia1_tr.png",293,293,-0.209020777,0.088724056,5.0338,268,0.21053739,0.085062627,"Bckg72.jpg",286,11,42,2,1,1,53,286,151,110,236,286,"encyclopedia1_tr.png",1,68,68,7.4987,1,2.3789,1,0.8184
"Sub003_ToD_Online","OA","Night",1,"grater1_tr.png",237,237,-0.190438511,-0.123672215,5.618,268,-0.103088481,-0.202322535,"Bckg118.jpg",227,108,2,1,1,1,37,227,183,311,225,227,"grater1_tr.png",1,207,207,6.6987,1,2.1966,1,1.3069
"Sub003_ToD_Online","OA","Night",1,"hairdryer1_tr.png",62,62,0.200492579,0.106603795,2.6509,268,0.22289994,-0.043327359,"Bckg79.jpg",63,73,71,2,1,1,67,63,52,27,90,63,"hairdryer1_tr.png",1,101,101,4.8141,1,1.1794,1,0.7685
"Sub003_ToD_Online","OA","Night",1,"hammer1_tr.png",221,221,-0.148972564,-0.171373331,4.1864,268,0.136655275,-0.181347675,"Bckg138.jpg",237,118,57,2,1,1,42,237,139,321,245,237,"hammer1_tr.png",1,503,143,5.1951,1,3.8247,1,0.6043
"Sub003_ToD_Online","OA","Night",1,"handsoap1_tr.png",438,78,0.222109824,0.047210901,5.2656,268,0.22289994,0.043327359,"Bckg73.jpg",74,57,85,3,1,1,109,74,352,41,5,74,"handsoap1_tr.png",1,79,79,6.6382,1,2.0981,1,0.9864
"Sub003_ToD_Online","OA","Night",1,"highheel1_tr.png",148,148,0.120329769,-0.192567884,2.4329,268,0.192567884,-0.120329769,"Bckg57.jpg",128,77,96,3,1,1,91,128,108,34,194,128,"highheel1_tr.png",1,122,122,5.9839,1,1.3948,1,0.834
"Sub003_ToD_Online","OA","Night",1,"hotdog1_tr.png",513,153,0.103088481,-0.202322535,4.8147,268,0.081375288,-0.211989872,"Bckg126.jpg",152,42,82,3,1,1,90,152,327,275,320,152,"hotdog1_tr.png",1,159,159,4.1338,1,1.297,1,0.7015
