"SubID","MEQScore","Hours_Sleep","Chronotype","MedianSplit_MEQ","MatchCondition","AgeGroup","ToD_Condition","attention1_pass","Attention1abutton","attention1a_pass","attention2_pass","Attention2abutton","attention2a_pass","attention3_pass","Attention3abutton","attention3a_pass","attention_checks_passed"
"Sub072_ToD_Online",51,8.5,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub073_ToD_Online",60,7.5,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub074_ToD_Online",72,7,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub075_ToD_Online",52,NA,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub076_ToD_Online",48,4.5,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE,5
"Sub077_ToD_Online",58,5,"Intermediate Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub078_ToD_Online",64,6,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub079_ToD_Online",58,8.5,"Intermediate Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub080_ToD_Online",48,7,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub081_ToD_Online",53,7.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub082_ToD_Online",54,6.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub083_ToD_Online",54,5.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub084_ToD_Online",40,6,"Evening Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub085_ToD_Online",41,6,"Evening Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub086_ToD_Online",43,7.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub087_ToD_Online",36,5.5,"Evening Type","Night","No","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub088_ToD_Online",66,7,"Morning Type","Morning","Yes","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub089_ToD_Online",46,7,"Intermediate Type","Night","No","YA","Morning",TRUE,2,FALSE,FALSE,2,TRUE,TRUE,1,TRUE,4
"Sub090_ToD_Online",62,8,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub091_ToD_Online",57,7,"Intermediate Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub092_ToD_Online",51,6.5,"Intermediate Type","Night","No","YA","Morning",FALSE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,5
