"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3"
"Sub070_ToD_Online","OA","Night","28/10/24",73.4444444444444,64.2222222222222,68,102.777777777778,-11.6222222222222,-0.555555555555556,-30.1111111111111,3.22222222222222
"Sub071_ToD_Online","OA","Night","28/10/24",39.046511627907,48.4166666666667,33.6111111111111,37.9230769230769,6.16279069767442,11.0833333333333,-0.388888888888889,10.6923076923077
"Sub072_ToD_Online","OA","Night","28/10/24",27.6785714285714,28.1578947368421,34.2222222222222,21,-4.42857142857143,0.263157894736842,-6.22222222222222,-7.42105263157895
"Sub073_ToD_Online","OA","Night","28/10/24",26.3103448275862,44.6842105263158,18,16.75,-6.37931034482759,-3.42105263157895,-5.89473684210526,-9.65
"Sub074_ToD_Online","OA","Night","6/11/2024",28.280701754386,38.4444444444444,34.8421052631579,12.9,8.31578947368421,32.1111111111111,-4.63157894736842,-0.8
"Sub075_ToD_Online","OA","Night","6/11/2024",51.6603773584906,68.3157894736842,34.5294117647059,50.1764705882353,-9.39622641509434,-16,-0.647058823529412,-10.7647058823529
"Sub076_ToD_Online","OA","Night","6/11/2024",39.6511627906977,23.7692307692308,61.0625,29.9285714285714,5.13953488372093,10.8461538461538,18.6875,-15.6428571428571
"Sub077_ToD_Online","OA","Night","6/11/2024",49.8857142857143,36.75,57.8181818181818,51,5.48571428571429,2.5,-4,13.5
"Sub078_ToD_Online","OA","Night","6/11/2024",64.8518518518518,66.4705882352941,60.7894736842105,67.6111111111111,-14.4444444444444,-53.4117647058824,6.26315789473684,0.5
"Sub079_ToD_Online","OA","Night","6/11/2024",46.1388888888889,29.3076923076923,69.3076923076923,37.9,4.19444444444444,6.53846153846154,3.61538461538462,1.9
"Sub080_ToD_Online","YA","Night","6/11/2024",37.6285714285714,42,27.6,41.3571428571429,2.54285714285714,2.18181818181818,2.8,2.64285714285714
"Sub081_ToD_Online","YA","Night","6/11/2024",22.8301886792453,22.9444444444444,15.8125,28.6315789473684,1.50943396226415,16.7222222222222,-8.6875,-4.31578947368421
"Sub082_ToD_Online","YA","Night","6/11/2024",64.1904761904762,52.5625,69.1666666666667,73.2142857142857,14.1904761904762,-23.6875,65.6666666666667,13.3571428571429
"Sub083_ToD_Online","YA","Night","6/11/2024",60.0392156862745,51.2352941176471,68.7777777777778,59.5625,-1.88235294117647,4.52941176470588,11.6666666666667,-23.9375
"Sub084_ToD_Online","YA","Night","6/11/2024",51.0816326530612,45.8421052631579,75,33.8,4.42857142857143,2.57894736842105,-7.53333333333333,18.7333333333333
"Sub085_ToD_Online","YA","Night","6/11/2024",29.462962962963,33.0555555555556,34,22.6,-10.9814814814815,0.833333333333333,-27,-8.8
"Sub086_ToD_Online","YA","Night","6/11/2024",45.195652173913,39,67.25,35.8235294117647,4.19565217391304,1.23529411764706,19.25,-3.47058823529412
"Sub087_ToD_Online","YA","Morning","6/11/2024",44.9444444444444,44.1818181818182,14.5555555555556,62.5625,4.55555555555556,9.63636363636364,-13.6666666666667,11.3125
"Sub088_ToD_Online","YA","Morning","6/12/2024",46.375,56.3,39.8888888888889,43.2307692307692,-0.25,14.9,12.1111111111111,-20.4615384615385
"Sub089_ToD_Online","YA","Morning","6/13/2024",22.4117647058824,19.4,31.5,13.875,-3,13.6666666666667,-10.8,-8.875
"Sub090_ToD_Online","OA","Morning","6/12/2024",56.9583333333333,44.1,49.3333333333333,78.75,-7.70833333333333,11.5,-10.3333333333333,-29.75
"Sub091_ToD_Online","OA","Morning","6/12/2024",41.2439024390244,48.3333333333333,20.4444444444444,74.75,-6.80487804878049,-5.13333333333333,12,-52.25
"Sub092_ToD_Online","YA","Morning","6/13/2024",74.8666666666667,76.3571428571429,43.5714285714286,96.8888888888889,-0.8,-0.642857142857143,3.57142857142857,-4.44444444444444
