"SubID","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","Date","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any","Chance_CorrectRecallOverall","HitRate","FalseAlarmRate","RecognitionScore","z_HitRate","z_FalseAlarmRate","z_RecognitionScore","HR_outlier","FA_outlier","Rec_outlier"
"Sub025_ToD_Online",12.7118644067797,3.28813559322034,FALSE,13.3728813559322,1.91525423728814,FALSE,"Overall",59,1,24,0,"YA","Night","25/10/24",1.36573784117934,-1.37127919885051,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.983333333333333,0,0.983333333333333,1.47335779563383,-0.824606226461121,1.5740162234408,FALSE,FALSE,FALSE
"Sub026_ToD_Online",4.75757575757576,0.818181818181818,FALSE,72.6060606060606,2.48484848484848,FALSE,"Overall",33,26,20,3,"YA","Night","25/10/24",-1.43680832727714,1.37490053476297,-1.2451262234792,0.879820059598513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.559322033898305,0.130434782608696,0.428887251289609,-1.24697423917501,1.73246992930269,-1.63787624149489,FALSE,FALSE,FALSE
"Sub027_ToD_Online",2.91304347826087,-1.26086956521739,FALSE,15.4565217391304,-3.41304347826087,FALSE,"Overall",46,14,24,0,"YA","Morning","26/10/24",-0.0355352430488987,0.0567342626284984,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.766666666666667,0,0.766666666666667,0.0832880616575625,-0.824606226461121,0.318871572577308,FALSE,FALSE,FALSE
"Sub028_ToD_Online",7.91666666666667,-1.97222222222222,FALSE,67.5277777777778,-4.63888888888889,FALSE,"Overall",36,24,23,1,"YA","Morning","26/10/34",-1.11343761553216,1.15520615607389,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,0.0416666666666667,0.558333333333333,-0.985996349093414,-0.00776245448101521,-0.887998284022201,FALSE,FALSE,FALSE
"Sub029_ToD_Online",8.34883720930233,-1.7906976744186,FALSE,38.6279069767442,-5.37209302325581,FALSE,"Overall",43,17,23,1,"YA","Morning","26/10/24",-0.358905954793878,0.386275830662117,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.716666666666667,0.0416666666666667,0.675,-0.237497261567731,-0.00776245448101521,-0.212151164326476,FALSE,FALSE,FALSE
"Sub030_ToD_Online",13.4848484848485,-5.48484848484848,FALSE,101.969696969697,-3.42424242424242,FALSE,"Overall",33,23,20,2,"YA","Morning","27/10/24",-1.43680832727714,1.04535896672935,-1.2451262234792,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.589285714285714,0.0909090909090909,0.498376623376623,-1.05473606121312,0.957598366950019,-1.23532602457084,FALSE,FALSE,FALSE
"Sub031_ToD_Online",8.14893617021277,4.06382978723404,FALSE,86.5957446808511,-23.4042553191489,FALSE,"Overall",47,13,20,4,"YA","Morning","27/10/24",0.0722549941994277,-0.053112926716041,-1.2451262234792,1.37100794563204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.783333333333333,0.166666666666667,0.616666666666667,0.19021650273266,2.4427688614593,-0.550074724174338,FALSE,FALSE,FALSE
"Sub032_ToD_Online",6.62857142857143,0.742857142857143,FALSE,73.8285714285714,-3.6,FALSE,"Overall",35,25,24,0,"YA","Morning","27/10/24",-1.22122785278049,1.26505334541843,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.583333333333333,0,0.583333333333333,-1.09292479016851,-0.824606226461121,-0.74317390123026,FALSE,FALSE,FALSE
"Sub033_ToD_Online",6.23913043478261,-0.673913043478261,FALSE,59.304347826087,3.47826086956522,FALSE,"Overall",46,14,23,1,"YA","Morning","27/10/24",-0.0355352430488987,0.0567342626284984,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.766666666666667,0.0416666666666667,0.725,0.0832880616575625,-0.00776245448101521,0.0774976012574067,FALSE,FALSE,FALSE
"Sub034_ToD_Online",6.32758620689655,2.46551724137931,FALSE,19.0344827586207,-3.06896551724138,FALSE,"Overall",58,2,24,0,"YA","Morning","27/10/24",1.25794760393102,-1.26143200950597,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0,0.966666666666667,1.36642935455873,-0.824606226461121,1.47746663491284,FALSE,FALSE,FALSE
