"sub_id","AgeGroup","ToD_Condition","Date","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub026_ToD_Online","YA","Night","25/10/24","1",86.3636363636364,7.27272727272727,FALSE
"Sub026_ToD_Online","YA","Night","25/10/24","2",61.4615384615385,14.3846153846154,FALSE
"Sub026_ToD_Online","YA","Night","25/10/24","3",71.8888888888889,-20.5555555555556,FALSE
"Sub027_ToD_Online","YA","Morning","26/10/24","Overall",15.4565217391304,-3.41304347826087,FALSE
"Sub027_ToD_Online","YA","Morning","26/10/24","1",19,1.33333333333333,FALSE
"Sub027_ToD_Online","YA","Morning","26/10/24","2",9.625,-1.875,FALSE
"Sub027_ToD_Online","YA","Morning","26/10/24","3",17.9166666666667,-12.5833333333333,FALSE
"Sub028_ToD_Online","YA","Morning","26/10/34","Overall",67.5277777777778,-4.63888888888889,FALSE
"Sub028_ToD_Online","YA","Morning","26/10/34","1",54.9090909090909,-33.6363636363636,FALSE
"Sub028_ToD_Online","YA","Morning","26/10/34","2",57.5384615384615,33.0769230769231,FALSE
"Sub028_ToD_Online","YA","Morning","26/10/34","3",89.9166666666667,-18.9166666666667,FALSE
"Sub029_ToD_Online","YA","Morning","26/10/24","Overall",38.6279069767442,-5.37209302325581,FALSE
"Sub029_ToD_Online","YA","Morning","26/10/24","1",50.4705882352941,-9.64705882352941,FALSE
"Sub029_ToD_Online","YA","Morning","26/10/24","2",27.5,-4.25,FALSE
"Sub029_ToD_Online","YA","Morning","26/10/24","3",36.3,0.1,FALSE
"Sub030_ToD_Online","YA","Morning","27/10/24","Overall",101.969696969697,-3.42424242424242,FALSE
"Sub030_ToD_Online","YA","Morning","27/10/24","1",96,-26.6,FALSE
"Sub030_ToD_Online","YA","Morning","27/10/24","2",107.583333333333,0.916666666666667,FALSE
"Sub030_ToD_Online","YA","Morning","27/10/24","3",101.272727272727,12.9090909090909,FALSE
"Sub031_ToD_Online","YA","Morning","27/10/24","Overall",86.5957446808511,-23.4042553191489,FALSE
"Sub031_ToD_Online","YA","Morning","27/10/24","1",83.2,6.4,FALSE
"Sub031_ToD_Online","YA","Morning","27/10/24","2",81.6875,-3.6875,FALSE
"Sub031_ToD_Online","YA","Morning","27/10/24","3",94.6875,-71.0625,FALSE
"Sub032_ToD_Online","YA","Morning","27/10/24","Overall",73.8285714285714,-3.6,FALSE
"Sub032_ToD_Online","YA","Morning","27/10/24","1",61.2,13.8,FALSE
"Sub032_ToD_Online","YA","Morning","27/10/24","2",78.0769230769231,-1.15384615384615,FALSE
"Sub032_ToD_Online","YA","Morning","27/10/24","3",79.75,-20.75,FALSE
"Sub033_ToD_Online","YA","Morning","27/10/24","Overall",59.304347826087,3.47826086956522,FALSE
"Sub033_ToD_Online","YA","Morning","27/10/24","1",79.3846153846154,9.53846153846154,FALSE
"Sub033_ToD_Online","YA","Morning","27/10/24","2",51.6470588235294,-9.64705882352941,FALSE
"Sub033_ToD_Online","YA","Morning","27/10/24","3",51.125,12.5,FALSE
"Sub034_ToD_Online","YA","Morning","27/10/24","Overall",19.0344827586207,-3.06896551724138,FALSE
"Sub034_ToD_Online","YA","Morning","27/10/24","1",25.1052631578947,-3,FALSE
"Sub034_ToD_Online","YA","Morning","27/10/24","2",21.4210526315789,-4.68421052631579,FALSE
"Sub034_ToD_Online","YA","Morning","27/10/24","3",11,-1.6,FALSE
"Sub035_ToD_Online","YA","Morning","27/10/24","Overall",31.8846153846154,-8.80769230769231,FALSE
"Sub035_ToD_Online","YA","Morning","27/10/24","1",21.7647058823529,-3.76470588235294,FALSE
"Sub035_ToD_Online","YA","Morning","27/10/24","2",39.6470588235294,-17.7647058823529,FALSE
"Sub035_ToD_Online","YA","Morning","27/10/24","3",34.1111111111111,-5.11111111111111,FALSE
"Sub036_ToD_Online","YA","Morning","27/10/24","Overall",60.3,10.95,FALSE
"Sub036_ToD_Online","YA","Morning","27/10/24","1",68,1.23076923076923,FALSE
"Sub036_ToD_Online","YA","Morning","27/10/24","2",58,7.6,FALSE
"Sub036_ToD_Online","YA","Morning","27/10/24","3",54.8333333333333,25.6666666666667,FALSE
"Sub037_ToD_Online","YA","Morning","28/10/24","Overall",30.5869565217391,2.28260869565217,FALSE
"Sub037_ToD_Online","YA","Morning","28/10/24","1",20.0666666666667,14.3333333333333,FALSE
"Sub037_ToD_Online","YA","Morning","28/10/24","2",36.625,9.75,FALSE
"Sub037_ToD_Online","YA","Morning","28/10/24","3",34.6666666666667,-17.7333333333333,FALSE
"Sub038_ToD_Online","YA","Morning","28/10/24","Overall",7.52631578947368,3.59649122807018,FALSE
"Sub038_ToD_Online","YA","Morning","28/10/24","1",7.64705882352941,3.05882352941176,FALSE
"Sub038_ToD_Online","YA","Morning","28/10/24","2",9.55,5.45,FALSE
"Sub038_ToD_Online","YA","Morning","28/10/24","3",5.4,2.2,FALSE
"Sub039_ToD_Online","YA","Morning","28/10/24","Overall",74.0222222222222,0.333333333333333,FALSE
"Sub039_ToD_Online","YA","Morning","28/10/24","1",47.8125,5.3125,FALSE
"Sub039_ToD_Online","YA","Morning","28/10/24","2",104.785714285714,19.2142857142857,FALSE
"Sub039_ToD_Online","YA","Morning","28/10/24","3",73.2666666666667,-22.6,FALSE
"Sub040_ToD_Online","OA","Morning","25/10/24","Overall",87,-6.51351351351351,FALSE
"Sub040_ToD_Online","OA","Morning","25/10/24","1",77.625,-3.375,FALSE
"Sub040_ToD_Online","OA","Morning","25/10/24","2",114.777777777778,-29.4444444444444,FALSE
"Sub040_ToD_Online","OA","Morning","25/10/24","3",78.6666666666667,6.5,FALSE
"Sub041_ToD_Online","OA","Morning","25/10/24","Overall",52.5,-9.13157894736842,FALSE
"Sub041_ToD_Online","OA","Morning","25/10/24","1",77.4545454545455,5.27272727272727,FALSE
"Sub041_ToD_Online","OA","Morning","25/10/24","2",36.1875,5.4375,FALSE
"Sub041_ToD_Online","OA","Morning","25/10/24","3",51.2727272727273,-44.7272727272727,FALSE
"Sub042_ToD_Online","OA","Morning","25/10/24","Overall",20.4230769230769,-0.115384615384615,FALSE
"Sub042_ToD_Online","OA","Morning","25/10/24","1",24.4,-3.2,FALSE
"Sub042_ToD_Online","OA","Morning","25/10/24","2",12.5263157894737,2.73684210526316,FALSE
"Sub042_ToD_Online","OA","Morning","25/10/24","3",25.4444444444444,-0.555555555555556,FALSE
"Sub043_ToD_Online","OA","Morning","25/10/24","Overall",20.2241379310345,-2.91379310344828,FALSE
"Sub043_ToD_Online","OA","Morning","25/10/24","1",16.6315789473684,1.57894736842105,FALSE
"Sub043_ToD_Online","OA","Morning","25/10/24","2",17.9473684210526,-1.31578947368421,FALSE
"Sub043_ToD_Online","OA","Morning","25/10/24","3",25.8,-8.7,FALSE
