"sub_id","AgeGroup","ToD_Condition","Date","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3"
"Sub035_ToD_Online","YA","Morning","27/10/24",10.8653846153846,11.0588235294118,12.6470588235294,9,0.826923076923077,-2.82352941176471,0.294117647058824,4.77777777777778
"Sub036_ToD_Online","YA","Morning","27/10/24",8.75,8.76923076923077,7.66666666666667,10.0833333333333,-0.8,-3.07692307692308,1.4,-1.08333333333333
"Sub037_ToD_Online","YA","Morning","28/10/24",11.3478260869565,14.3333333333333,8.6875,11.2,-1.69565217391304,-2.06666666666667,-3.5625,0.666666666666667
"Sub038_ToD_Online","YA","Morning","28/10/24",5.63157894736842,5.76470588235294,7.1,4.05,0.964912280701754,-2.11764705882353,2.2,2.35
"Sub039_ToD_Online","YA","Morning","28/10/24",9.84444444444444,10.375,9,10.0666666666667,0.111111111111111,2.25,-3.85714285714286,1.53333333333333
"Sub040_ToD_Online","OA","Morning","25/10/24",27.4324324324324,32.9375,11.2222222222222,32.25,-2.08108108108108,1.5625,-4.33333333333333,-5.25
"Sub041_ToD_Online","OA","Morning","25/10/24",10.6578947368421,13.5454545454545,11.75,6.18181818181818,3.13157894736842,7.36363636363636,3.375,-1.45454545454545
"Sub042_ToD_Online","OA","Morning","25/10/24",7.76923076923077,8,9.1578947368421,6.11111111111111,0.730769230769231,0.666666666666667,-0.947368421052632,2.55555555555556
"Sub043_ToD_Online","OA","Morning","25/10/24",4.96551724137931,7.52631578947368,3.89473684210526,3.55,0.0689655172413793,0.894736842105263,0.210526315789474,-0.85
"Sub044_ToD_Online","OA","Morning","25/10/24",9.30769230769231,10.5714285714286,9.94444444444444,7.85,-0.538461538461538,1.85714285714286,0.0555555555555556,-2.75
"Sub045_ToD_Online","OA","Morning","25/10/24",5.55932203389831,5.7,5.05,5.94736842105263,1.05084745762712,-1.3,3.75,0.684210526315789
"Sub046_ToD_Online","OA","Night","25/10/24",7.70833333333333,7.1875,7.94117647058824,8,-0.416666666666667,1.5625,1.35294117647059,-4.53333333333333
"Sub047_ToD_Online","OA","Night","25/10/24",10.8292682926829,13.5333333333333,11.6428571428571,6.5,-4.73170731707317,-10.7333333333333,-2.92857142857143,0.666666666666667
"Sub048_ToD_Online","OA","Night","25/10/24",10.7333333333333,11.5833333333333,8.26666666666667,12.2222222222222,-1.35555555555556,3.91666666666667,-0.933333333333333,-5.22222222222222
"Sub049_ToD_Online","OA","Morning","26/10/24",13.046511627907,19.5,7.69230769230769,11.75,-3.27906976744186,-9.21428571428571,-1.23076923076923,0.25
"Sub050_ToD_Online","OA","Morning","26/10/24",8.33333333333333,6.84210526315789,8,10.1052631578947,-1.51851851851852,-2.31578947368421,0.375,-2.31578947368421
"Sub051_ToD_Online","OA","Morning","26/10/24",5.86792452830189,6.57894736842105,4.88235294117647,6.05882352941176,-0.39622641509434,-2.78947368421053,-0.529411764705882,2.41176470588235
"Sub052_ToD_Online","OA","Morning","26/10/24",4.375,3.8125,2.90909090909091,6.30769230769231,1.625,2.6875,2.18181818181818,-0.153846153846154
"Sub053_ToD_Online","OA","Morning","26/10/24",5.45454545454545,3.92307692307692,5.30769230769231,6.66666666666667,0.590909090909091,-0.384615384615385,2.07692307692308,0.222222222222222
"Sub054_ToD_Online","OA","Morning","26/10/24",88.75,104.05,81.1,81.1,4.25,39.55,3,-29.8
"Sub055_ToD_Online","OA","Morning","27/10/24",9.37254901960784,12.8,6.0625,9.45,3.76470588235294,7.33333333333333,-0.4375,4.45
"Sub056_ToD_Online","OA","Morning","27/10/24",2.3,3.07692307692308,2.66666666666667,1.42105263157895,0.1,1.84615384615385,-0.888888888888889,-0.157894736842105
"Sub057_ToD_Online","OA","Morning","27/10/24",9.92307692307692,12.5333333333333,7.27272727272727,9.15384615384615,2.8974358974359,3.86666666666667,1.09090909090909,3.30769230769231
"Sub058_ToD_Online","OA","Morning","27/10/24",95.18,95.1333333333333,91.5,98.3157894736842,-20.86,-52.8666666666667,-30.5,12.5263157894737
"Sub059_ToD_Online","OA","Morning","27/10/24",3.96610169491525,4.36842105263158,2.85,4.7,-1.01694915254237,-2.78947368421053,-0.35,0
"Sub060_ToD_Online","OA","Morning","28/10/24",9.07272727272727,7.11764705882353,12.2631578947368,7.63157894736842,-0.0909090909090909,-1.23529411764706,-1.63157894736842,2.47368421052632
"Sub061_ToD_Online","YA","Morning","28/10/24",6.16326530612245,5.75,8.0625,4.76470588235294,-1.30612244897959,-5.375,0.6875,0.647058823529412
"Sub062_ToD_Online","YA","Night","28/10/24",5.95833333333333,4.68421052631579,6.8125,6.76923076923077,-1.20833333333333,0.789473684210526,-0.5625,-4.92307692307692
"Sub063_ToD_Online","YA","Night","28/10/24",5.27906976744186,6.11764705882353,4.76923076923077,4.69230769230769,0.86046511627907,0.470588235294118,0.923076923076923,1.30769230769231
"Sub064_ToD_Online","YA","Night","28/10/24",7.54545454545455,7.1875,5.26666666666667,10.6153846153846,2.40909090909091,0.4375,1.13333333333333,6.30769230769231
"Sub065_ToD_Online","YA","Night","28/10/24",8.0188679245283,11.4210526315789,5.38888888888889,6.9375,-0.584905660377358,-2.57894736842105,3.38888888888889,-2.6875
"Sub066_ToD_Online","YA","Night","28/10/24",6.64912280701754,6.45,5.94736842105263,7.61111111111111,1.42105263157895,3.15,0.473684210526316,0.5
"Sub068_ToD_Online","OA","Night","28/10/24",6.75471698113208,7.9375,6.11111111111111,6.36842105263158,-0.830188679245283,-3.6875,1.22222222222222,-0.368421052631579
"Sub069_ToD_Online","OA","Night","28/10/24",8.71929824561403,8.47058823529412,9.7,7.95,0.578947368421053,-1.41176470588235,-0.7,3.55
"Sub070_ToD_Online","OA","Night","28/10/24",9.26666666666667,10.8888888888889,8.77777777777778,7,-0.0666666666666667,1,-3.66666666666667,5
"Sub071_ToD_Online","OA","Night","28/10/24",7.88372093023256,4.58333333333333,3.94444444444444,16.3846153846154,3.41860465116279,-1.41666666666667,-0.611111111111111,13.4615384615385
"Sub072_ToD_Online","OA","Night","28/10/24",13.2857142857143,9.78947368421053,14.1111111111111,16,-0.178571428571429,-3.15789473684211,-4.44444444444444,6.84210526315789
"Sub073_ToD_Online","OA","Night","28/10/24",5.41379310344828,6.42105263157895,6,3.9,-1.55172413793103,-2,0,-2.6
"Sub074_ToD_Online","OA","Night","6/11/2024",15.3333333333333,12.6111111111111,20.1578947368421,13.2,3.85964912280702,0.611111111111111,7.42105263157895,3.4
"Sub075_ToD_Online","OA","Night","6/11/2024",5.66037735849057,7.31578947368421,4.94117647058824,4.52941176470588,-0.490566037735849,-0.157894736842105,-1.52941176470588,0.176470588235294
"Sub076_ToD_Online","OA","Night","6/11/2024",4.93023255813953,4.84615384615385,5.6875,4.14285714285714,-0.697674418604651,-0.538461538461538,-0.4375,-1.14285714285714
"Sub077_ToD_Online","OA","Night","6/11/2024",9.94285714285714,10.875,9.27272727272727,9.9375,2.28571428571429,3.375,-0.727272727272727,3.8125
"Sub078_ToD_Online","OA","Night","6/11/2024",6.44444444444444,9,5.26315789473684,5.27777777777778,0.185185185185185,-0.411764705882353,1.78947368421053,-0.944444444444444
"Sub079_ToD_Online","OA","Night","6/11/2024",5.61111111111111,5.38461538461539,6.15384615384615,5.2,-0.111111111111111,-3.23076923076923,1.23076923076923,2.2
"Sub080_ToD_Online","YA","Night","6/11/2024",4.82857142857143,6.90909090909091,3.7,4,1.8,-0.363636363636364,2.7,2.85714285714286
"Sub081_ToD_Online","YA","Night","6/11/2024",3.75471698113208,3.94444444444444,2.875,4.31578947368421,0.622641509433962,-0.5,0.75,1.57894736842105
"Sub082_ToD_Online","YA","Night","6/11/2024",9.61904761904762,6.4375,6.66666666666667,15.7857142857143,0.238095238095238,1.0625,4.16666666666667,-4.07142857142857
"Sub083_ToD_Online","YA","Night","6/11/2024",11.921568627451,6.47058823529412,21.5,6.9375,-5.56862745098039,-4.58823529411765,-7.94444444444444,-3.9375
"Sub084_ToD_Online","YA","Night","6/11/2024",7.38775510204082,8,7.26666666666667,6.73333333333333,-0.122448979591837,-2.63157894736842,1.4,1.53333333333333
"Sub085_ToD_Online","YA","Night","6/11/2024",6.62962962962963,6.5,10.0625,4,-2.07407407407407,-1.38888888888889,-4.9375,-0.4
"Sub086_ToD_Online","YA","Night","6/11/2024",6.97826086956522,6.52941176470588,7.66666666666667,6.94117647058824,-0.760869565217391,-1.23529411764706,0,-0.823529411764706
"Sub087_ToD_Online","YA","Morning","6/11/2024",4.58333333333333,3.90909090909091,4.66666666666667,5,0.305555555555556,-0.272727272727273,-1.55555555555556,1.75
"Sub088_ToD_Online","YA","Morning","6/12/2024",16.84375,31.1,9.44444444444444,11,2.65625,-1.9,5.88888888888889,3.92307692307692
"Sub089_ToD_Online","YA","Morning","6/13/2024",8.6078431372549,3.46666666666667,15.6,4.6875,2.05882352941176,0.4,6.1,-1.4375
"Sub090_ToD_Online","OA","Morning","6/12/2024",7.875,7.8,5.5,9.75,-0.791666666666667,-0.8,-5.5,2.75
"Sub091_ToD_Online","OA","Morning","6/12/2024",10.1219512195122,10.4666666666667,9.66666666666667,10.5,0.804878048780488,2.86666666666667,1.88888888888889,-5.5
"Sub092_ToD_Online","YA","Morning","6/13/2024",10.2666666666667,6.92857142857143,25,4,-4.4,0.928571428571429,-20.1428571428571,-0.444444444444444
