"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_block1","CorrectRecallOld_block2","CorrectRecallOld_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_block1","ForgetRecallOld_block2","ForgetRecallOld_block3","ForgetRecallOld_blockOverall","CorrectRecallNew_block1","CorrectRecallNew_block2","CorrectRecallNew_block3","CorrectRecallNew_blockOverall","NewRecallOld_block1","NewRecallOld_block2","NewRecallOld_block3","NewRecallOld_blockOverall"
"Sub011_ToD_Online","YA","Morning","24/10/24",60.3478260869565,56.6,72.2941176470588,49.8571428571429,-16.2608695652174,-36.4666666666667,24.4117647058824,-44,8.28260869565217,8.26666666666667,10.1764705882353,6,1.3695652173913,4,-0.294117647058824,0.571428571428571,15,17,14,46,4,3,6,13,8,7,8,23,0,1,0,1
"Sub012_ToD_Online","YA","Night","24/10/24",20.3620689655172,8.25,24.1,29.6666666666667,7.18965517241379,-2.75,4.1,21.6666666666667,4.13793103448276,4.4,3.45,4.61111111111111,0.586206896551724,0.3,-0.25,1.83333333333333,20,20,18,58,0,0,2,2,8,8,8,24,0,0,0,0
"Sub013_ToD_Online","YA","Night","24/10/24",56.9795918367347,46.25,61.7647058823529,62.625,-6.04081632653061,-10.875,18.8235294117647,-27.625,11.1428571428571,7.0625,19.2352941176471,6.625,3.79591836734694,-4.5625,14.5294117647059,0.75,16,17,16,49,4,3,4,11,6,9,7,22,1,0,0,1
"Sub014_ToD_Online","YA","Night","24/10/24",27.22,23.8947368421053,24.7058823529412,34.7857142857143,-6.66,2.84210526315789,-8.11764705882353,-17.7857142857143,6.12,6.73684210526316,5,6.64285714285714,0.04,0.842105263157895,0.529411764705882,-1.64285714285714,19,17,14,50,1,3,6,10,8,8,8,24,0,0,0,0
"Sub015_ToD_Online","YA","Night","24/10/24",64,68.8571428571429,78.5882352941177,39.6923076923077,3.77272727272727,-23.5714285714286,17.5294117647059,15.2307692307692,8.47727272727273,9.42857142857143,10,5.46153846153846,-0.295454545454545,4.71428571428571,-2.82352941176471,-2.38461538461538,14,17,13,44,6,3,7,16,8,8,8,24,0,0,0,0
"Sub016_ToD_Online","OA","Night","24/10/24",51.02,35.125,49.8125,66.2222222222222,-2.42,11,-17.5625,-0.888888888888889,11.1,9,12.1875,12,3.82,1.5,8.5625,1.66666666666667,16,16,18,50,4,4,2,10,8,8,8,24,0,0,0,0
"Sub017_ToD_Online","OA","Night","24/10/24",18.7241379310345,18.9444444444444,21.95,15.3,4.20689655172414,2.94444444444444,9.35,0.2,6.25862068965517,4.72222222222222,6.45,7.45,-1.87931034482759,-3.61111111111111,0.55,-2.75,18,20,20,58,2,0,0,2,8,9,7,24,0,0,0,0
"Sub018_ToD_Online","OA","Night","24/10/24",59,74.5,44.3,63.5,-15.0714285714286,-71.5,-2.9,3,9.46428571428571,11.8333333333333,8.8,8.83333333333333,-5.53571428571429,-3.83333333333333,-6.4,-5.66666666666667,6,10,12,28,12,10,8,30,8,8,6,22,0,0,2,2
"Sub019_ToD_Online","OA","Night","24/10/24",32.2553191489362,29.0588235294118,46.5833333333333,25.7222222222222,4.59574468085106,8.70588235294118,4.41666666666667,0.833333333333333,7.80851063829787,6.94117647058824,6.58333333333333,9.44444444444444,0.659574468085106,-0.470588235294118,3.58333333333333,-0.222222222222222,17,12,18,47,3,8,2,13,8,9,6,23,0,0,1,1
"Sub020_ToD_Online","YA","Morning","25/10/24",27.2631578947368,22.7,31.4444444444444,28.1052631578947,9.12280701754386,-0.5,12.7777777777778,15.7894736842105,6.71929824561404,3.85,5.16666666666667,11.2105263157895,2.08771929824561,-1.35,-1.61111111111111,9.21052631578947,20,18,19,57,0,2,1,3,8,9,6,23,0,0,1,1
