"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Recall_Age","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_blockOverall","CorrectRecallNew_blockOverall","NewRecallOld_blockOverall"
"Sub040_ToD","OA","Night","Julia",FALSE,53.5957446808511,83.7857142857143,45.5294117647059,35.75,5.21276595744681,4.07142857142857,7.41176470588235,3.875,FALSE,8.74468085106383,10.5714285714286,9.23529411764706,6.625,-1.72340425531915,-2.85714285714286,-4.05882352941176,1.75,47,13,23,1
"Sub041_ToD","YA","Morning","Julia",FALSE,44.5641025641026,40.5,40.8461538461538,53.3333333333333,15.3846153846154,1.35714285714286,34.0769230769231,11.5,FALSE,6.12820512820513,6.71428571428571,5.92307692307692,5.66666666666667,-2.28205128205128,-2,-3.30769230769231,-1.5,39,21,23,1
"Sub042_ToD","YA","Morning","Julia",FALSE,29,36.4166666666667,36.9166666666667,14.8461538461538,2.40540540540541,-6.75,9.08333333333333,4.69230769230769,FALSE,6.54054054054054,9.33333333333333,4.25,6.07692307692308,-2.75675675675676,-2.83333333333333,-0.416666666666667,-4.84615384615385,37,23,22,2
"Sub043_ToD","OA","Night","Julia",FALSE,50.5476190476191,66.4166666666667,23.6428571428571,62.1875,-7.97619047619048,10.4166666666667,-11.6428571428571,-18.5625,FALSE,11.8809523809524,21.25,8.42857142857143,7.875,-2.30952380952381,-15.5833333333333,3.71428571428571,2.375,42,18,24,0
"Sub044_ToD","YA","Night","Julia",FALSE,42.2777777777778,49.1578947368421,29.5,48.1176470588235,-2.72222222222222,-10.5263157894737,6.83333333333333,-4.11764705882353,FALSE,4.83333333333333,4.47368421052632,4.66666666666667,5.41176470588235,0.648148148148148,-0.0526315789473684,2,0,54,6,23,1
"Sub045_ToD","OA","Night","Julia",FALSE,52.6923076923077,64.2222222222222,28.25,62.8888888888889,12.6153846153846,32.2222222222222,12.375,-6.77777777777778,FALSE,11.5192307692308,8.05555555555556,18.4375,8.83333333333333,-0.826923076923077,-3.16666666666667,3.0625,-1.94444444444444,52,8,24,0
"Sub046_ToD","OA","Morning","Julia",FALSE,9.33333333333333,8.58823529411765,9.6,9.7,-2.21052631578947,0,-2.7,-3.6,FALSE,7.10526315789474,7,8.5,5.8,0.263157894736842,4.29411764705882,-1.7,-1.2,57,3,24,0
"Sub047_ToD","YA","Morning","Julia",FALSE,51.525,49.4705882352941,72.6666666666667,40.4285714285714,-8.225,0.647058823529412,-11.7777777777778,-16.7142857142857,FALSE,5.575,4.70588235294118,5.22222222222222,6.85714285714286,-0.275,-2,-1.44444444444444,2.57142857142857,40,20,24,0
"Sub048_ToD","YA","Night","Julia",FALSE,31.8541666666667,34.2666666666667,43.5,18.7647058823529,-0.6875,5.86666666666667,-9.75,2.05882352941176,FALSE,6.41666666666667,8.4,5.625,5.41176470588235,-1.20833333333333,-1.6,0.5,-2.47058823529412,48,12,24,0
"Sub049_ToD","OA","Night","Julia",FALSE,65.9761904761905,52.2727272727273,73.625,67.8666666666667,-7.35714285714286,-23.9090909090909,0.5,-3.6,FALSE,7.28571428571429,8.72727272727273,5.375,8.26666666666667,-2.0952380952381,-6.36363636363636,2.625,-4,42,18,23,1
"Sub050_ToD","YA","Morning","Julia",FALSE,28.4259259259259,27.4210526315789,23.8235294117647,33.8333333333333,-14.462962962963,-11,-4.52941176470588,-27.5,FALSE,4.48148148148148,4.26315789473684,4.35294117647059,4.83333333333333,-0.851851851851852,-2.36842105263158,2.11764705882353,-2.05555555555556,54,6,24,0
"Sub051_ToD","YA","Night","Julia",FALSE,54.0952380952381,49.9230769230769,61.0714285714286,51.2,-1.42857142857143,25.9230769230769,-9.21428571428571,-17.8666666666667,FALSE,8.42857142857143,9.30769230769231,9.5,6.66666666666667,-1.19047619047619,-3.15384615384615,-2.64285714285714,1.86666666666667,42,18,23,1
"Sub052_ToD","YA","Morning","Julia",FALSE,71.1860465116279,49.6153846153846,73,87.125,11.046511627907,13.3076923076923,24.7142857142857,-2.75,FALSE,10,9.38461538461539,9.64285714285714,10.8125,-1.58139534883721,0.615384615384615,-1.21428571428571,-3.6875,43,17,24,0
"Sub053_ToD","YA","Night","Julia",FALSE,68.52,59.4,76.1578947368421,68,12.56,39.8,2.68421052631579,-1.25,FALSE,11.18,12.2666666666667,11.4210526315789,9.875,4.42,4.66666666666667,2.57894736842105,6.375,50,10,21,3
"Sub054_ToD","OA","Morning","Julia",FALSE,48.4186046511628,47.8,39.6470588235294,58.125,-11.5348837209302,-12.6,-10.5882352941176,-11.875,FALSE,6.93023255813953,10.5,7.23529411764706,4.375,0.13953488372093,0.5,-2.05882352941176,2.25,43,17,22,2
"Sub055_ToD","OA","Morning","Julia",FALSE,73.4237288135593,62.45,79.25,78.8421052631579,9.35593220338983,0.85,4.55,23.3684210526316,FALSE,8.4406779661017,8.4,8.7,8.21052631578947,-0.372881355932203,-0.7,-3.9,3.68421052631579,59,1,20,4
"Sub056_ToD","OA","Morning","Julia",FALSE,14.2542372881356,12.6315789473684,19.2,10.85,-1.44067796610169,2.63157894736842,-8.8,2.05,FALSE,9.91525423728813,9.73684210526316,10.2,9.8,-0.457627118644068,2.05263157894737,-1.3,-2,59,1,24,0
"Sub057_ToD","OA","Morning","Julia",FALSE,44.4333333333333,23,78.7,32.5555555555556,12.3,6.81818181818182,45.7,-18.1111111111111,FALSE,6.5,7.09090909090909,6.2,6.11111111111111,-1.43333333333333,-0.727272727272727,0,-3.88888888888889,30,30,24,0
"Sub058_ToD","OA","Morning","Julia",FALSE,25.7307692307692,26.7058823529412,14.2777777777778,36.8823529411765,-4.88461538461539,-5.76470588235294,-0.166666666666667,-9,FALSE,5.80769230769231,7.52941176470588,5.33333333333333,4.58823529411765,0.961538461538462,1.88235294117647,0.222222222222222,0.823529411764706,52,8,24,0
"Sub059_ToD","YA","Night","Julia",FALSE,30,26.6111111111111,30.45,32.7368421052632,10.5964912280702,2.27777777777778,24.85,3.47368421052632,FALSE,5.6140350877193,3.88888888888889,5.8,7.05263157894737,-2,-3.33333333333333,2.9,-5.89473684210526,57,3,24,0
"Sub060_ToD","OA","Morning","Julia",FALSE,55.5151515151515,64.3333333333333,41.7,56.25,-1.33333333333333,-8.73333333333333,-10.7,24.25,FALSE,6.03030303030303,5.8,4.5,8.375,0.0303030303030303,2.2,-2.1,-1.375,33,27,22,2
