"participant","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any","Chance_CorrectRecallOverall","HitRate","FalseAlarmRate","RecognitionScore","z_HitRate","z_FalseAlarmRate","z_RecognitionScore","HR_outlier","FA_outlier","Rec_outlier"
"Sub013_ToD",3.12068965517241,0.155172413793103,FALSE,12.6379310344828,-2.81034482758621,FALSE,"Overall",58,2,24,0,"YA","Morning","Julia",1.14603084930134,-1.14603084930134,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0,0.966666666666667,1.14603084930134,-0.72334293998822,1.33154962313971,FALSE,FALSE,FALSE
"Sub014_ToD",5.74,-0.98,FALSE,30.26,-16.5,FALSE,"Overall",50,10,24,0,"YA","Morning","Julia",0.328206017875033,-0.328206017875033,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,0,0.833333333333333,0.328206017875033,-0.72334293998822,0.560151651849627,FALSE,FALSE,FALSE
"Sub015_ToD",7.33333333333333,0.177777777777778,FALSE,25.5111111111111,-3.46666666666667,FALSE,"Overall",45,15,24,0,"OA","Night","Julia",-0.575413362665956,0.575413362665956,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0.75,-0.575413362665956,-0.750351714879723,-0.264492987848315,FALSE,FALSE,FALSE
"Sub016_ToD",4.52830188679245,-0.113207547169811,FALSE,33.188679245283,5.71698113207547,FALSE,"Overall",53,7,23,1,"YA","Night","Julia",0.634890329659899,-0.634890329659899,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.883333333333333,0.0416666666666667,0.841666666666667,0.634890329659899,-0.027468719240059,0.608364025055257,FALSE,FALSE,FALSE
"Sub017_ToD",7.77777777777778,-1.40740740740741,FALSE,48.7222222222222,2.42592592592593,FALSE,"Overall",54,6,22,2,"OA","Morning","Julia",0.497525918548188,-0.497525918548189,-0.834898386978848,0.834898386978847,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,0.0833333333333333,0.816666666666667,0.497525918548189,0.834898386978847,0.165576911092034,FALSE,FALSE,FALSE
"Sub018_ToD",7.4375,-1.3125,FALSE,32.2916666666667,-6.54166666666667,FALSE,"Overall",48,12,23,1,"OA","Night","Julia",-0.217766935594575,0.217766935594574,-0.0422733360495629,0.0422733360495619,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.0416666666666667,0.758333333333333,-0.217766935594574,0.0422733360495619,-0.210734250480771,FALSE,FALSE,FALSE
"Sub019_ToD",7.10714285714286,0.571428571428571,FALSE,35.0535714285714,4.16071428571429,FALSE,"Overall",56,4,24,0,"YA","Morning","Julia",0.941574641444766,-0.941574641444766,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.933333333333333,0,0.933333333333333,0.941574641444766,-0.72334293998822,1.13870013031719,FALSE,FALSE,FALSE
"Sub020_ToD",6.98039215686275,-0.392156862745098,FALSE,21.3529411764706,-4.05882352941176,FALSE,"Overall",51,9,23,1,"OA","Morning","Julia",0.139879491476807,-0.139879491476807,-0.0422733360495629,0.0422733360495619,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.0416666666666667,0.808333333333333,0.139879491476807,0.0422733360495619,0.111818173724491,FALSE,FALSE,FALSE
"Sub021_ToD",6.7719298245614,-2.7719298245614,FALSE,29.0175438596491,2.42105263157895,FALSE,"Overall",57,3,24,0,"YA","Night","Julia",1.04380274537305,-1.04380274537305,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0,0.95,1.04380274537305,-0.72334293998822,1.23512487672845,FALSE,FALSE,FALSE
"Sub022_ToD",4.74509803921569,0,FALSE,26.5686274509804,-11,FALSE,"Overall",51,9,23,1,"YA","Night","Julia",0.430434121803322,-0.430434121803322,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.0416666666666667,0.808333333333333,0.430434121803322,-0.027468719240059,0.415514532232735,FALSE,FALSE,FALSE
"Sub023_ToD",5.86666666666667,-1.06666666666667,FALSE,31.6666666666667,-10.5111111111111,FALSE,"Overall",45,15,24,0,"YA","Night","Julia",-0.182934501766412,0.182934501766412,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0.75,-0.182934501766412,-0.72334293998822,0.078027919793323,FALSE,FALSE,FALSE
"Sub024_ToD",5.88636363636364,0.431818181818182,FALSE,36.0681818181818,3.47727272727273,FALSE,"Overall",44,16,23,1,"YA","Night","Julia",-0.285162605694701,0.2851626056947,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0.0416666666666667,0.691666666666667,-0.285162605694701,-0.027468719240059,-0.25945869264609,FALSE,FALSE,FALSE
"Sub025_ToD",4.02083333333333,-1.60416666666667,FALSE,24.7708333333333,15.8958333333333,FALSE,"Overall",48,12,24,0,"OA","Morning","Julia",-0.217766935594575,0.217766935594574,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0,0.8,-0.217766935594574,-0.750351714879723,0.0580594363569471,FALSE,FALSE,FALSE
"Sub026_ToD",6.2037037037037,-1.2037037037037,FALSE,44.9074074074074,11.1296296296296,FALSE,"Overall",54,6,23,1,"YA","Morning","Julia",0.737118433588188,-0.737118433588188,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,0.0416666666666667,0.858333333333333,0.737118433588189,-0.027468719240059,0.704788771466518,FALSE,FALSE,FALSE
"Sub027_ToD",6.33928571428571,-2.48214285714286,FALSE,30.3035714285714,-7.375,FALSE,"Overall",56,4,24,0,"OA","Night","Julia",0.735956869929109,-0.73595686992911,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.933333333333333,0,0.933333333333333,0.73595686992911,-0.750351714879723,0.918199234237644,FALSE,FALSE,FALSE
