"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub029_ToD","OA","Night","Julia","Overall",26.5185185185185,11.962962962963,FALSE
"Sub029_ToD","OA","Night","Julia","1",23.3125,4.6875,FALSE
"Sub029_ToD","OA","Night","Julia","2",28.6315789473684,18,FALSE
"Sub029_ToD","OA","Night","Julia","3",27.1052631578947,12.0526315789474,FALSE
"Sub030_ToD","OA","Night","Julia","Overall",38.7017543859649,-14.4912280701754,FALSE
"Sub030_ToD","OA","Night","Julia","1",42.0555555555556,-20.0555555555556,FALSE
"Sub030_ToD","OA","Night","Julia","2",46.8947368421053,-22.7894736842105,FALSE
"Sub030_ToD","OA","Night","Julia","3",27.9,-1.6,FALSE
"Sub031_ToD","OA","Night","Julia","Overall",19.3928571428571,-7.64285714285714,FALSE
"Sub031_ToD","OA","Night","Julia","1",23.8823529411765,-3.88235294117647,FALSE
"Sub031_ToD","OA","Night","Julia","2",26.25,-16.35,FALSE
"Sub031_ToD","OA","Night","Julia","3",8.1578947368421,-1.84210526315789,FALSE
"Sub032_ToD","YA","Morning","Julia","Overall",25.2127659574468,2.19148936170213,FALSE
"Sub032_ToD","YA","Morning","Julia","1",31.5882352941176,14.4117647058824,FALSE
"Sub032_ToD","YA","Morning","Julia","2",27.7333333333333,2,FALSE
"Sub032_ToD","YA","Morning","Julia","3",15.4666666666667,-11.4666666666667,FALSE
"Sub033_ToD","YA","Morning","Julia","Overall",24.6842105263158,-2.40350877192982,FALSE
"Sub033_ToD","YA","Morning","Julia","1",22.7894736842105,6.05263157894737,FALSE
"Sub033_ToD","YA","Morning","Julia","2",22.9473684210526,-17.8947368421053,FALSE
"Sub033_ToD","YA","Morning","Julia","3",28.3157894736842,4.63157894736842,FALSE
"Sub034_ToD","YA","Morning","Julia","Overall",73.1842105263158,18.0263157894737,FALSE
"Sub034_ToD","YA","Morning","Julia","1",57.4166666666667,19.75,FALSE
"Sub034_ToD","YA","Morning","Julia","2",78.3076923076923,-15.2307692307692,FALSE
"Sub034_ToD","YA","Morning","Julia","3",82.6153846153846,49.6923076923077,FALSE
