"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_learning","minavg_learning","outlier_Learning_Age"
"Sub029_ToD","OA","Night","Julia","1",4.375,0.625,FALSE
"Sub029_ToD","OA","Night","Julia","2",6.36842105263158,-1.73684210526316,FALSE
"Sub029_ToD","OA","Night","Julia","3",5,-2.47368421052632,FALSE
"Sub030_ToD","OA","Night","Julia","Overall",12.8421052631579,1.50877192982456,FALSE
"Sub030_ToD","OA","Night","Julia","1",10.9444444444444,5.27777777777778,FALSE
"Sub030_ToD","OA","Night","Julia","2",13.3157894736842,-1.94736842105263,FALSE
"Sub030_ToD","OA","Night","Julia","3",14.1,1.4,FALSE
"Sub031_ToD","OA","Night","Julia","Overall",5.60714285714286,0.571428571428571,FALSE
"Sub031_ToD","OA","Night","Julia","1",6.58823529411765,0.941176470588235,FALSE
"Sub031_ToD","OA","Night","Julia","2",5.55,-0.25,FALSE
"Sub031_ToD","OA","Night","Julia","3",4.78947368421053,1.10526315789474,FALSE
"Sub032_ToD","YA","Morning","Julia","Overall",5.53191489361702,0.51063829787234,FALSE
"Sub032_ToD","YA","Morning","Julia","1",8.88235294117647,3.23529411764706,FALSE
"Sub032_ToD","YA","Morning","Julia","2",4.2,-1,FALSE
"Sub032_ToD","YA","Morning","Julia","3",3.06666666666667,-1.06666666666667,FALSE
"Sub033_ToD","YA","Morning","Julia","Overall",11.0350877192982,-1.87719298245614,FALSE
"Sub033_ToD","YA","Morning","Julia","1",10.4736842105263,0.789473684210526,FALSE
"Sub033_ToD","YA","Morning","Julia","2",12.5263157894737,-5.05263157894737,FALSE
"Sub033_ToD","YA","Morning","Julia","3",10.1052631578947,-1.36842105263158,FALSE
"Sub034_ToD","YA","Morning","Julia","Overall",6.89473684210526,0.0526315789473684,FALSE
"Sub034_ToD","YA","Morning","Julia","1",5.83333333333333,0.166666666666667,FALSE
"Sub034_ToD","YA","Morning","Julia","2",6.07692307692308,1,FALSE
"Sub034_ToD","YA","Morning","Julia","3",8.69230769230769,-1,FALSE
"Sub035_ToD","YA","Night","Julia","Overall",6.48148148148148,-2.18518518518519,FALSE
"Sub035_ToD","YA","Night","Julia","1",6.52941176470588,-0.176470588235294,FALSE
"Sub035_ToD","YA","Night","Julia","2",5.05555555555556,-3.05555555555556,FALSE
"Sub035_ToD","YA","Night","Julia","3",7.78947368421053,-3.15789473684211,FALSE
"Sub036_ToD","OA","Morning","Julia","Overall",13.6744186046512,-4.97674418604651,FALSE
"Sub036_ToD","OA","Morning","Julia","1",10.6923076923077,4.07692307692308,FALSE
"Sub036_ToD","OA","Morning","Julia","2",7.53333333333333,-2.2,FALSE
"Sub036_ToD","OA","Morning","Julia","3",22.4,-15.6,FALSE
"Sub037_ToD","OA","Morning","Julia","Overall",11.2830188679245,3.24528301886792,FALSE
"Sub037_ToD","OA","Morning","Julia","1",13.375,1.25,FALSE
"Sub037_ToD","OA","Morning","Julia","2",9.52631578947368,0.789473684210526,FALSE
"Sub037_ToD","OA","Morning","Julia","3",11.2777777777778,7.61111111111111,FALSE
"Sub038_ToD","YA","Morning","Julia","Overall",6.73469387755102,2.3265306122449,FALSE
"Sub038_ToD","YA","Morning","Julia","1",8.875,2.375,FALSE
"Sub038_ToD","YA","Morning","Julia","2",5.35714285714286,3.64285714285714,FALSE
"Sub038_ToD","YA","Morning","Julia","3",5.94736842105263,1.31578947368421,FALSE
"Sub039_ToD","OA","Night","Julia","Overall",10.7115384615385,-2.05769230769231,FALSE
"Sub039_ToD","OA","Night","Julia","1",10.0588235294118,-2.29411764705882,FALSE
"Sub039_ToD","OA","Night","Julia","2",13.7777777777778,-4,FALSE
"Sub039_ToD","OA","Night","Julia","3",8.11764705882353,0.235294117647059,FALSE
"Sub040_ToD","OA","Night","Julia","Overall",8.74468085106383,-1.72340425531915,FALSE
"Sub040_ToD","OA","Night","Julia","1",10.5714285714286,-2.85714285714286,FALSE
"Sub040_ToD","OA","Night","Julia","2",9.23529411764706,-4.05882352941176,FALSE
"Sub040_ToD","OA","Night","Julia","3",6.625,1.75,FALSE
"Sub041_ToD","YA","Morning","Julia","Overall",6.12820512820513,-2.28205128205128,FALSE
"Sub041_ToD","YA","Morning","Julia","1",6.71428571428571,-2,FALSE
"Sub041_ToD","YA","Morning","Julia","2",5.92307692307692,-3.30769230769231,FALSE
"Sub041_ToD","YA","Morning","Julia","3",5.66666666666667,-1.5,FALSE
"Sub042_ToD","YA","Morning","Julia","Overall",6.54054054054054,-2.75675675675676,FALSE
"Sub042_ToD","YA","Morning","Julia","1",9.33333333333333,-2.83333333333333,FALSE
"Sub042_ToD","YA","Morning","Julia","2",4.25,-0.416666666666667,FALSE
"Sub042_ToD","YA","Morning","Julia","3",6.07692307692308,-4.84615384615385,FALSE
"Sub043_ToD","OA","Night","Julia","Overall",11.8809523809524,-2.30952380952381,FALSE
"Sub043_ToD","OA","Night","Julia","1",21.25,-15.5833333333333,FALSE
"Sub043_ToD","OA","Night","Julia","2",8.42857142857143,3.71428571428571,FALSE
"Sub043_ToD","OA","Night","Julia","3",7.875,2.375,FALSE
"Sub044_ToD","YA","Night","Julia","Overall",4.83333333333333,0.648148148148148,FALSE
"Sub044_ToD","YA","Night","Julia","1",4.47368421052632,-0.0526315789473684,FALSE
"Sub044_ToD","YA","Night","Julia","2",4.66666666666667,2,FALSE
"Sub044_ToD","YA","Night","Julia","3",5.41176470588235,0,FALSE
"Sub045_ToD","OA","Night","Julia","Overall",11.5192307692308,-0.826923076923077,FALSE
"Sub045_ToD","OA","Night","Julia","1",8.05555555555556,-3.16666666666667,FALSE
"Sub045_ToD","OA","Night","Julia","2",18.4375,3.0625,FALSE
"Sub045_ToD","OA","Night","Julia","3",8.83333333333333,-1.94444444444444,FALSE
"Sub046_ToD","OA","Morning","Julia","Overall",7.10526315789474,0.263157894736842,FALSE
"Sub046_ToD","OA","Morning","Julia","1",7,4.29411764705882,FALSE
"Sub046_ToD","OA","Morning","Julia","2",8.5,-1.7,FALSE
"Sub046_ToD","OA","Morning","Julia","3",5.8,-1.2,FALSE
"Sub047_ToD","YA","Morning","Julia","Overall",5.575,-0.275,FALSE
"Sub047_ToD","YA","Morning","Julia","1",4.70588235294118,-2,FALSE
"Sub047_ToD","YA","Morning","Julia","2",5.22222222222222,-1.44444444444444,FALSE
"Sub047_ToD","YA","Morning","Julia","3",6.85714285714286,2.57142857142857,FALSE
"Sub048_ToD","YA","Night","Julia","Overall",6.41666666666667,-1.20833333333333,FALSE
"Sub048_ToD","YA","Night","Julia","1",8.4,-1.6,FALSE
"Sub048_ToD","YA","Night","Julia","2",5.625,0.5,FALSE
"Sub048_ToD","YA","Night","Julia","3",5.41176470588235,-2.47058823529412,FALSE
"Sub049_ToD","OA","Night","Julia","Overall",7.28571428571429,-2.0952380952381,FALSE
"Sub049_ToD","OA","Night","Julia","1",8.72727272727273,-6.36363636363636,FALSE
"Sub049_ToD","OA","Night","Julia","2",5.375,2.625,FALSE
"Sub049_ToD","OA","Night","Julia","3",8.26666666666667,-4,FALSE
"Sub050_ToD","YA","Morning","Julia","Overall",4.48148148148148,-0.851851851851852,FALSE
"Sub050_ToD","YA","Morning","Julia","1",4.26315789473684,-2.36842105263158,FALSE
"Sub050_ToD","YA","Morning","Julia","2",4.35294117647059,2.11764705882353,FALSE
