"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3"
"Sub107_ToD","YA","Morning","Julia",FALSE,3.69565217391304,5.06666666666667,2.93333333333333,3.125,0.217391304347826,-1.46666666666667,-0.133333333333333,2.125
"Sub108_ToD","YA","Night","Julia",FALSE,19.4545454545455,11.5294117647059,18.0555555555556,27.45,-2.43636363636364,4.94117647058824,-1.5,-9.55
"Sub109_ToD","OA","Morning","Julia",FALSE,9.88461538461539,8.5,12,9.54545454545454,-1.88461538461538,1.5,-2.85714285714286,-3.72727272727273
"Sub110_ToD","OA","Morning","Julia",FALSE,8.02040816326531,7.29411764705882,9.125,7.6875,4.18367346938776,3.88235294117647,3.125,5.5625
"Sub111_ToD","OA","Morning","Julia",FALSE,7.1551724137931,8.27777777777778,7.5,5.8,-1.63793103448276,-2.27777777777778,-1.2,-1.5
"Sub112_ToD","OA","Morning","Julia",FALSE,5.03636363636364,6.21052631578947,3.72222222222222,5.11111111111111,0.2,-0.947368421052632,-0.388888888888889,2
"Sub113_ToD","OA","Night","Julia",FALSE,9.375,6.15789473684211,7.47368421052632,14.7777777777778,-0.0178571428571429,0.894736842105263,-3.36842105263158,2.55555555555556
"Sub114_ToD","YA","Night","Julia",FALSE,6.38461538461539,5.17647058823529,6.82352941176471,7.11111111111111,0,-0.823529411764706,-0.470588235294118,1.22222222222222
"Sub115_ToD","YA","Morning","Julia",FALSE,8.85714285714286,11.1428571428571,7.63636363636364,7,-0.742857142857143,-2.57142857142857,-2.18181818181818,3.4
"Sub116_ToD","OA","Morning","Julia",FALSE,8.1551724137931,10.3333333333333,7.15,7.2,-2.29310344827586,-7.66666666666667,-0.25,0.5
"Sub117_ToD","YA","Morning","Julia",FALSE,17.2380952380952,11.0625,28.3333333333333,17.1764705882353,-6.23809523809524,-0.6875,-13.2222222222222,-7.76470588235294
"Sub118_ToD","YA","Morning","Julia",FALSE,5.06666666666667,6.07692307692308,4.1875,5.125,-0.4,2.23076923076923,-1.9375,-1
