"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","collected_by"
"Sub001_ToD","YA","Night",1,"qtips1_tr.png",159,159,0.078864189,-0.205448237,3.0967,37,NA,NA,"Bckg129.jpg",171,92,23,1,1,1,28,171,235,155,124,171,"qtips1_tr.png",1,155,155,1.1641,1,1.7703,2,1.1041,"Julia"
"Sub001_ToD","YA","Night",1,"seashell1_tr.png",204,204,-0.089508438,-0.201039244,2.7064,37,0.163540055,-0.147252127,"Bckg8.jpg",205,13,103,3,1,1,104,205,224,134,59,205,"seashell1_tr.png",1,132,132,0.6651,1,0.902,2,0.4113,"Julia"
"Sub001_ToD","YA","Night",1,"silvertray1_tr.png",285,285,-0.212566322,0.056956974,2.0636,37,0.180266572,-0.126224012,"Bckg64.jpg",288,6,4,1,1,1,13,288,241,343,248,288,"silvertray1_tr.png",1,485,125,2.9856,1,1.4753,2,0.685,"Julia"
"Sub001_ToD","YA","Night",1,"sink1_tr.png",173,173,0.026819159,-0.21842452,3.5727,37,-0.011517304,-0.219763259,"Bckg32.jpg",178,112,77,2,1,1,57,178,267,137,336,178,"sink1_tr.png",1,183,183,2.3581,1,1.5392,1,0.765,"Julia"
"Sub001_ToD","YA","Night",1,"steeringwheel1_tr.png",222,222,-0.147252127,-0.163540055,2.6259,37,0.202570762,-0.085986187,"Bckg62.jpg",229,90,61,2,1,1,41,229,132,225,181,229,"steeringwheel1_tr.png",1,113,113,5.4649,1,1.5822,1,0.9405,"Julia"
"Sub001_ToD","YA","Night",1,"tennisball1_tr.png",384,24,0.089508438,0.201039244,2.772,37,0.075266612,-0.206793316,"Bckg125.jpg",15,31,9,1,1,1,39,15,270,276,311,15,"tennisball1_tr.png",1,160,160,4.5404,1,1.8698,1,1.7315,"Julia"
"Sub001_ToD","YA","Night",1,"tissuebox1_tr.png",5,5,0.019179915,0.219227437,3.3758,37,-0.219528783,0.015350948,"Bckg98.jpg",1,12,42,2,1,1,67,1,95,272,311,1,"tissuebox1_tr.png",1,274,274,1.3505,1,1.4258,2,0.5596,"Julia"
"Sub001_ToD","YA","Night",1,"toaster1_tr.png",361,1,0.003840661,0.220031333,4.1175,37,-0.106689556,-0.192473055,"Bckg104.jpg",358,119,79,2,1,1,70,358,291,211,356,358,"toaster1_tr.png",1,209,209,1.5811,1,2.0321,1,0.9617,"Julia"
"Sub001_ToD","YA","Night",1,"toothpaste1_tr.png",268,268,-0.219930792,-0.007680153,2.3342,37,-0.208075404,0.071646107,"Bckg38.jpg",259,1,82,3,1,1,100,259,232,85,230,259,"toothpaste1_tr.png",1,-71,289,3.0267,1,1.005,1,0.331,"Julia"
"Sub001_ToD","YA","Night",1,"trophy1_tr.png",70,70,0.206793316,0.075266612,1.7866,37,1.34751e-17,-0.22006485,"Bckg68.jpg",75,99,107,3,1,1,89,75,66,178,228,75,"trophy1_tr.png",1,180,180,0.8733,1,1.5038,2,0.8416,"Julia"
