subject_ID,AgeGroup,ToD_Condition,attention1_pass,Attention1abutton,attention1a_pass,attention2_pass,Attention2abutton,attention2a_pass,attention3_pass,Attention3abutton,attention3a_pass
Sub062_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub075_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub091_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub048_ToD_Online,OA,Night,TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE
Sub056_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub050_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub011_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub074_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub070_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub086_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub078_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub006_ToD_Online,OA,Morning,TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE
Sub036_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub001_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,2,FALSE
Sub022_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub034_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub020_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub029_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub024_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub008_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub088_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub068_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub004_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub028_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub039_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub092_ToD_Online,YA,Morning,FALSE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub035_ToD_Online,YA,Morning,FALSE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE
Sub087_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub031_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub084_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub054_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,FALSE,1,TRUE
Sub082_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub079_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub013_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub059_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE
Sub073_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub044_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE
Sub052_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub085_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub002_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub030_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub065_ToD_Online,YA,Night,TRUE,1,TRUE,FALSE,1,FALSE,TRUE,1,TRUE
Sub083_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub080_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
